There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_batch, op = compval, desc_cnt = 50000, array_len = 4GB, alignment = 128 bytes
src_arr @ 0x7ff7bfcff580 , dest_arr @ 0x7ff6bfbfd580
transfer_size =   64 B | do_time =  0.04 us | do_speed =  1728 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.05 us | do_speed =  2488 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.05 us | do_speed =  5254 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.05 us | do_speed = 10052 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.05 us | do_speed = 19068 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.07 us | do_speed = 27923 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.13 us | do_speed = 28937 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.26 us | do_speed = 29598 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  0.52 us | do_speed = 29952 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  1.04 us | do_speed = 30127 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  2.07 us | do_speed = 30191 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  4.14 us | do_speed = 30228 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  8.27 us | do_speed = 30246 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 16.53 us | do_speed = 30254 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 33.05 us | do_speed = 30259 MB/s | REPEAT = 10

