There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_memcpy*32, op = memcpy, desc_cnt = 50000, array_len = 4GB, alignment = 128 bytes
src_arr @ 0x7f99c8eff580 , dest_arr @ 0x7f98c8dfd580
transfer_size =   64 B | do_time =  0.17 us | do_speed =   359 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.17 us | do_speed =   717 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.17 us | do_speed =  1436 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.17 us | do_speed =  2869 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.17 us | do_speed =  5663 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.18 us | do_speed = 10925 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.19 us | do_speed = 20165 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.24 us | do_speed = 31903 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  0.48 us | do_speed = 32811 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  0.94 us | do_speed = 33163 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  1.88 us | do_speed = 33215 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  3.76 us | do_speed = 33244 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  7.52 us | do_speed = 33257 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 15.03 us | do_speed = 33264 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 30.06 us | do_speed = 33267 MB/s | REPEAT = 10

