There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_batch, op = memfill, desc_cnt = 50000, array_len = 4GB, alignment = 128 bytes
src_arr @ 0x7fb7590ff580 , dest_arr @ 0x7fb658ffd580
transfer_size =   64 B | do_time =  0.04 us | do_speed =  1637 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.04 us | do_speed =  3154 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.04 us | do_speed =  5705 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.04 us | do_speed = 10891 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.05 us | do_speed = 20548 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.08 us | do_speed = 24290 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.15 us | do_speed = 26915 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.27 us | do_speed = 28579 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  0.53 us | do_speed = 29506 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  1.04 us | do_speed = 29975 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  2.07 us | do_speed = 30209 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  4.12 us | do_speed = 30327 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  8.23 us | do_speed = 30386 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 16.44 us | do_speed = 30415 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 32.86 us | do_speed = 30431 MB/s | REPEAT = 10

