There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_single, op = memfill, desc_cnt = 50000, array_len = 4GB, alignment = 128 bytes
src_arr @ 0x7f80f72ff580 , dest_arr @ 0x7f7ff71fd580
transfer_size =   64 B | do_time =  0.49 us | do_speed =   125 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.51 us | do_speed =   240 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.52 us | do_speed =   466 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.56 us | do_speed =   878 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.60 us | do_speed =  1620 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.68 us | do_speed =  2876 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.75 us | do_speed =  5211 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.89 us | do_speed =  8783 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  1.16 us | do_speed = 13507 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  1.71 us | do_speed = 18318 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  2.77 us | do_speed = 22584 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  4.84 us | do_speed = 25834 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  8.95 us | do_speed = 27918 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 17.11 us | do_speed = 29219 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 33.58 us | do_speed = 29779 MB/s | REPEAT = 10

