There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_memcpy*32, op = compval, desc_cnt = 50000, array_len = 4GB, alignment = 128 bytes
src_arr @ 0x7f976c6ff580 , dest_arr @ 0x7f966c5fd580
transfer_size =   64 B | do_time =  0.19 us | do_speed =   323 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.19 us | do_speed =   646 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.19 us | do_speed =  1293 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.19 us | do_speed =  2581 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.19 us | do_speed =  5084 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.20 us | do_speed =  9867 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.22 us | do_speed = 18136 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.26 us | do_speed = 29958 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  0.52 us | do_speed = 30084 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  1.04 us | do_speed = 30171 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  2.07 us | do_speed = 30218 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  4.13 us | do_speed = 30241 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  8.26 us | do_speed = 30253 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 16.52 us | do_speed = 30258 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 33.05 us | do_speed = 30261 MB/s | REPEAT = 10

