There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
transfer_size =    1MB | do_time = 33.40 us | do_speed = 29941 MB/s | REPEAT = 10

method = DSA_memcpy*32, op = memcpy, desc_cnt = 50000, array_len = 4GB, alignment = 128 bytes
src_arr @ 0x7f6fcb6ff580 , dest_arr @ 0x7f6ecb5fd580
transfer_size =   64 B | do_time =  0.19 us | do_speed =   322 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.19 us | do_speed =   646 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.19 us | do_speed =  1293 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.19 us | do_speed =  2585 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.19 us | do_speed =  5107 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.20 us | do_speed =  9820 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.21 us | do_speed = 18176 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.27 us | do_speed = 28720 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  0.53 us | do_speed = 29540 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  1.05 us | do_speed = 29854 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  2.09 us | do_speed = 29898 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  4.18 us | do_speed = 29921 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  8.35 us | do_speed = 29932 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 16.70 us | do_speed = 29938 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 33.40 us | do_speed = 29941 MB/s | REPEAT = 10

