There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_memcpy*32, op = compval, desc_cnt = 50000, array_len = 4GB, alignment = 128 bytes
src_arr @ 0x7fbe74cff580 , dest_arr @ 0x7fbd74bfd580
transfer_size =   64 B | do_time =  0.17 us | do_speed =   359 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.17 us | do_speed =   716 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.17 us | do_speed =  1436 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.17 us | do_speed =  2872 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.17 us | do_speed =  5661 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.18 us | do_speed = 10960 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.19 us | do_speed = 20165 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.23 us | do_speed = 33247 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  0.47 us | do_speed = 33373 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  0.93 us | do_speed = 33509 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  1.86 us | do_speed = 33569 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  3.72 us | do_speed = 33600 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  7.44 us | do_speed = 33613 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 14.87 us | do_speed = 33620 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 29.74 us | do_speed = 33623 MB/s | REPEAT = 10

