There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_batch, op = memcpy, desc_cnt = 50000, array_len = 4GB, alignment = 128 bytes
src_arr @ 0x7fd319cff580 , dest_arr @ 0x7fd219bfd580
transfer_size =   64 B | do_time =  0.04 us | do_speed =  1495 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.04 us | do_speed =  2860 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.05 us | do_speed =  4793 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.05 us | do_speed =  8921 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.06 us | do_speed = 16040 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.08 us | do_speed = 23945 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.15 us | do_speed = 26250 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.27 us | do_speed = 28438 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  0.53 us | do_speed = 29406 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  1.05 us | do_speed = 29774 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  2.09 us | do_speed = 29859 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  4.18 us | do_speed = 29901 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  8.35 us | do_speed = 29923 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 16.70 us | do_speed = 29933 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 33.40 us | do_speed = 29938 MB/s | REPEAT = 10

