There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_memcpy*32, op = memfill, desc_cnt = 50000, array_len = 4GB, alignment = 128 bytes
src_arr @ 0x7fa2548ff580 , dest_arr @ 0x7fa1547fd580
transfer_size =   64 B | do_time =  0.19 us | do_speed =   322 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.19 us | do_speed =   645 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.19 us | do_speed =  1292 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.19 us | do_speed =  2585 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.19 us | do_speed =  5172 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.19 us | do_speed = 10410 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.19 us | do_speed = 21028 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.27 us | do_speed = 28868 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  0.53 us | do_speed = 29623 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  1.04 us | do_speed = 30033 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  2.07 us | do_speed = 30240 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  4.12 us | do_speed = 30344 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  8.23 us | do_speed = 30394 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 16.44 us | do_speed = 30420 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 32.86 us | do_speed = 30433 MB/s | REPEAT = 10

