There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_memcpy*32, op = memfill, desc_cnt = 50000, array_len = 4GB, alignment = 128 bytes
src_arr @ 0x7f1b80aff580 , dest_arr @ 0x7f1a809fd580
transfer_size =   64 B | do_time =  0.17 us | do_speed =   359 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.17 us | do_speed =   718 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.17 us | do_speed =  1437 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.17 us | do_speed =  2854 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.17 us | do_speed =  5741 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.17 us | do_speed = 11565 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.17 us | do_speed = 23302 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.24 us | do_speed = 32073 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  0.47 us | do_speed = 32927 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  0.94 us | do_speed = 33374 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  1.86 us | do_speed = 33596 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  3.71 us | do_speed = 33714 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  7.40 us | do_speed = 33771 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 14.79 us | do_speed = 33800 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 29.57 us | do_speed = 33814 MB/s | REPEAT = 10

