There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_single, op = memcpy, desc_cnt = 50000, array_len = 4GB, alignment = 128 bytes
src_arr @ 0x7f594deff580 , dest_arr @ 0x7f584ddfd580
transfer_size =   64 B | do_time =  0.75 us | do_speed =    81 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.80 us | do_speed =   153 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.84 us | do_speed =   292 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.91 us | do_speed =   535 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.97 us | do_speed =  1006 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  1.07 us | do_speed =  1821 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  1.15 us | do_speed =  3401 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  1.41 us | do_speed =  5559 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  1.85 us | do_speed =  8460 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  2.40 us | do_speed = 12995 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  3.52 us | do_speed = 17772 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  5.72 us | do_speed = 21855 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  9.91 us | do_speed = 25220 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 18.32 us | do_speed = 27294 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 35.06 us | do_speed = 28523 MB/s | REPEAT = 10

