There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_single, op = compare, desc_cnt = 50000, array_len = 4GB, alignment = 128 bytes
src_arr @ 0x7f78ad2ff580 , dest_arr @ 0x7f77ad1fd580
transfer_size =   64 B | do_time =  0.72 us | do_speed =    85 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.75 us | do_speed =   163 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.78 us | do_speed =   311 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.84 us | do_speed =   581 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.91 us | do_speed =  1068 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  1.05 us | do_speed =  1859 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  1.15 us | do_speed =  3399 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  1.43 us | do_speed =  5474 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  1.98 us | do_speed =  7875 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  3.08 us | do_speed = 10131 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  5.17 us | do_speed = 12080 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  9.31 us | do_speed = 13427 MB/s | REPEAT = 10
transfer_size =  256KB | do_time = 17.52 us | do_speed = 14271 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 34.05 us | do_speed = 14683 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 67.13 us | do_speed = 14897 MB/s | REPEAT = 10

