Failed to mmap 2M pages for DSA allocator, try to mmap 4K pages
There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0
·>  engine0.1, group 0
·>  engine0.2, group 0
·>  engine0.3, group 0

DSA configures:
+  Recycle window enable, window len = 25
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
+  Contiguous allocation enable(enable huge-page)
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = batch32, op = memcpy, array_len = 4GB
CPU: transfer_size =  128KB | do_time = 11.84 us | do_speed = 10562 MB/s | REPEAT = 10
CPU: transfer_size =  256KB | do_time = 23.66 us | do_speed = 10567 MB/s | REPEAT = 10
CPU: transfer_size =  512KB | do_time = 47.30 us | do_speed = 10571 MB/s | REPEAT = 10
CPU: transfer_size =    1MB | do_time = 94.58 us | do_speed = 10574 MB/s | REPEAT = 10

method = batch32, op = compare, array_len = 4GB
transfer_size =   64 B | do_time =  0.05 us | do_speed =  1338 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.04 us | do_speed =  2741 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.04 us | do_speed =  6062 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.03 us | do_speed = 14036 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.07 us | do_speed = 14619 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.13 us | do_speed = 14875 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.26 us | do_speed = 14998 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.52 us | do_speed = 15062 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  1.04 us | do_speed = 15095 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  2.07 us | do_speed = 15110 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  4.13 us | do_speed = 15118 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  8.27 us | do_speed = 15122 MB/s | REPEAT = 10
transfer_size =  256KB | do_time = 16.53 us | do_speed = 15124 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 33.06 us | do_speed = 15125 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 66.11 us | do_speed = 15126 MB/s | REPEAT = 10
DSAbatch: to_cpu = 0, to_dsa = 1476349952, align_sum = 0
DSAbatch_task: batch_capacity = 80 , batch_siz = 32
